case_id,entity_id,case_type,order_id,payment_id,method,settlement_id,refund_id,bank_txn_id,expected_amount,actual_amount,variance,transaction_date,settlement_date,bank_value_date,candidate_count,confidence_score,evidence,reason,recommended_action,decision,status
EXC-011,setl_USyekoZy3uUi9S,SETTLEMENT_VARIANCE,order_9ObzxDNRf0Nu88,pay_Gcn13Dce53Ic5t,CARD,setl_USyekoZy3uUi9S,,TXN3946606770,4336.61,4718.13,381.52,2026-08-06,2026-08-08,2026-08-08,1,65.0,"{""direction"": ""credit"", ""duplicate_ledger_group"": false, ""duplicate_bank_group"": false, ""candidates"": [{""bank_txn_id"": ""TXN3946606770"", ""bank_amount"": 471813, ""bank_value_date"": ""2026-08-08T22:47:00"", ""reference_match"": 1.0, ""amount_diff_rupees"": 381.52, ""date_gap_days"": 0, ""confidence_score"": 65.0}]}",Reference matches but the amount differs beyond the acceptable variance tolerance.,Compare against the settlement's fee/tax break-down; escalate to Razorpay settlements support if the gap remains unexplained.,EXCEPTION,OPEN
EXC-012,setl_YK4gpPkLINO7uX,MISSING_OR_DELAYED_SETTLEMENT,order_m9lVbT6mXZe0XP,pay_NpOSWe9DyF5QHX,NETBANKING,setl_YK4gpPkLINO7uX,,,1966.21,,,2026-08-08,2026-08-10,,0,0.0,"{""direction"": ""credit"", ""duplicate_ledger_group"": false, ""duplicate_bank_group"": false, ""candidates"": []}",No matching bank record was found within the reconciliation window.,"Re-check the bank statement after the settlement window elapses; if still missing, raise a ticket with the settlement_id and bank_reference.",EXCEPTION,OPEN
EXC-013,setl_AyNHjfe58juKVO,MISSING_OR_DELAYED_SETTLEMENT,order_Usd37EgEKG895i,pay_0AHkD9eKan56yr,EMI,setl_AyNHjfe58juKVO,,TXN1771957711,3204.58,3204.58,0.0,2026-09-02,2026-09-04,2026-09-10,1,91.8,"{""direction"": ""credit"", ""duplicate_ledger_group"": false, ""duplicate_bank_group"": false, ""candidates"": [{""bank_txn_id"": ""TXN1771957711"", ""bank_amount"": 320458, ""bank_value_date"": ""2026-09-10T06:54:00"", ""reference_match"": 1.0, ""amount_diff_rupees"": 0.0, ""date_gap_days"": 6, ""confidence_score"": 91.8}]}","Reference and amount match, but the credit landed outside the expected settlement window.","Re-check the bank statement after the settlement window elapses; if still missing, raise a ticket with the settlement_id and bank_reference.",HUMAN_REVIEW,OPEN
EXC-014,setl_TtqemWKjkCzH7m,MISSING_OR_DELAYED_SETTLEMENT,order_VxTtm8A78irco0,pay_Rx8ffiYeJA7oqt,WALLET,setl_TtqemWKjkCzH7m,,,146.75,,,2026-08-22,2026-08-24,,0,0.0,"{""direction"": ""credit"", ""duplicate_ledger_group"": false, ""duplicate_bank_group"": false, ""candidates"": []}",No matching bank record was found within the reconciliation window.,"Re-check the bank statement after the settlement window elapses; if still missing, raise a ticket with the settlement_id and bank_reference.",EXCEPTION,OPEN
EXC-015,setl_IIl92EtEfonGa4,PAYMENT_STATE_AMBIGUITY,order_n3Wd9GV98gOqY4,pay_V6J8y59kotTwKR,NETBANKING,setl_IIl92EtEfonGa4,,TXN6972513617,231.06,231.06,0.0,2026-08-21,2026-08-23,2026-08-23,1,100.0,"{""direction"": ""credit"", ""duplicate_ledger_group"": true, ""duplicate_bank_group"": false, ""candidates"": [{""bank_txn_id"": ""TXN6972513617"", ""bank_amount"": 23106, ""bank_value_date"": ""2026-08-23T20:24:00"", ""reference_match"": 1.0, ""amount_diff_rupees"": 0.0, ""date_gap_days"": 0, ""confidence_score"": 100.0}]}",Another ledger entry claims the same bank transaction with comparable confidence. Duplicate ledger entries were also detected for this payment_id/reference/amount combination.,Manually check settlement webhook logs to confirm whether a duplicate settlement.processed event was received.,ABSTAIN,OPEN
EXC-016,setl_7x6ygsij6X7Ok8,PAYMENT_STATE_AMBIGUITY,order_n3Wd9GV98gOqY4,pay_V6J8y59kotTwKR,NETBANKING,setl_7x6ygsij6X7Ok8,,TXN6972513617,231.06,231.06,0.0,2026-08-21,2026-08-23,2026-08-23,1,100.0,"{""direction"": ""credit"", ""duplicate_ledger_group"": true, ""duplicate_bank_group"": false, ""candidates"": [{""bank_txn_id"": ""TXN6972513617"", ""bank_amount"": 23106, ""bank_value_date"": ""2026-08-23T20:24:00"", ""reference_match"": 1.0, ""amount_diff_rupees"": 0.0, ""date_gap_days"": 0, ""confidence_score"": 100.0}]}",Another ledger entry claims the same bank transaction with comparable confidence. Duplicate ledger entries were also detected for this payment_id/reference/amount combination.,Manually check settlement webhook logs to confirm whether a duplicate settlement.processed event was received.,ABSTAIN,OPEN
EXC-017,setl_kwOc2pHd9PObQz,SETTLEMENT_VARIANCE,order_lPMpQvhxKkZssT,pay_GAQi9EUk4Ybn9n,UPI,setl_kwOc2pHd9PObQz,,TXN2746789341,169.69,298.44,128.75,2026-08-21,2026-08-23,2026-08-23,1,75.6,"{""direction"": ""credit"", ""duplicate_ledger_group"": false, ""duplicate_bank_group"": false, ""candidates"": [{""bank_txn_id"": ""TXN2746789341"", ""bank_amount"": 29844, ""bank_value_date"": ""2026-08-23T18:27:00"", ""reference_match"": 1.0, ""amount_diff_rupees"": 128.75, ""date_gap_days"": 0, ""confidence_score"": 75.6}]}",Reference matches but the amount differs beyond the acceptable variance tolerance.,Compare against the settlement's fee/tax break-down; escalate to Razorpay settlements support if the gap remains unexplained.,EXCEPTION,OPEN
EXC-018,setl_AK5W4QkYgOLt2z,SETTLEMENT_VARIANCE,order_7sGRckiSSgLl5y,pay_ZluUcNPh3CKF7a,UPI,setl_AK5W4QkYgOLt2z,,TXN2623696956,1845.1,2110.82,265.72,2026-08-23,2026-08-25,2026-08-25,1,65.0,"{""direction"": ""credit"", ""duplicate_ledger_group"": false, ""duplicate_bank_group"": false, ""candidates"": [{""bank_txn_id"": ""TXN2623696956"", ""bank_amount"": 211082, ""bank_value_date"": ""2026-08-25T21:52:00"", ""reference_match"": 1.0, ""amount_diff_rupees"": 265.72, ""date_gap_days"": 0, ""confidence_score"": 65.0}]}",Reference matches but the amount differs beyond the acceptable variance tolerance.,Compare against the settlement's fee/tax break-down; escalate to Razorpay settlements support if the gap remains unexplained.,EXCEPTION,OPEN
EXC-019,setl_IoWXrP5y78tIap,MISSING_OR_DELAYED_SETTLEMENT,order_VIK6SP3H2Aagxd,pay_mUjrp0QsUcYg1T,CARD,setl_IoWXrP5y78tIap,,TXN4909710221,1747.96,1747.96,0.0,2026-09-15,2026-09-17,2026-09-24,1,91.0,"{""direction"": ""credit"", ""duplicate_ledger_group"": false, ""duplicate_bank_group"": false, ""candidates"": [{""bank_txn_id"": ""TXN4909710221"", ""bank_amount"": 174796, ""bank_value_date"": ""2026-09-24T03:58:00"", ""reference_match"": 1.0, ""amount_diff_rupees"": 0.0, ""date_gap_days"": 7, ""confidence_score"": 91.0}]}","Reference and amount match, but the credit landed outside the expected settlement window.","Re-check the bank statement after the settlement window elapses; if still missing, raise a ticket with the settlement_id and bank_reference.",HUMAN_REVIEW,OPEN
EXC-020,setl_7TDwnEdwcm4wDC,MISSING_OR_DELAYED_SETTLEMENT,order_0NYJVncq3HOjy3,pay_TsCFyFP0YMkFBl,EMI,setl_7TDwnEdwcm4wDC,,,489.06,,,2026-08-05,2026-08-07,,0,0.0,"{""direction"": ""credit"", ""duplicate_ledger_group"": false, ""duplicate_bank_group"": false, ""candidates"": []}",No matching bank record was found within the reconciliation window.,"Re-check the bank statement after the settlement window elapses; if still missing, raise a ticket with the settlement_id and bank_reference.",EXCEPTION,OPEN
EXC-021,setl_iF3jk5Gz8N2TY6,SETTLEMENT_VARIANCE,order_p8nzYvX3a2BoFr,pay_lwShoYSDDnjZbc,EMI,setl_iF3jk5Gz8N2TY6,,TXN2312854104,3442.16,3799.34,357.18,2026-08-05,2026-08-07,2026-08-07,2,65.0,"{""direction"": ""credit"", ""duplicate_ledger_group"": false, ""duplicate_bank_group"": false, ""candidates"": [{""bank_txn_id"": ""TXN2312854104"", ""bank_amount"": 379934, ""bank_value_date"": ""2026-08-07T17:43:00"", ""reference_match"": 1.0, ""amount_diff_rupees"": 357.18, ""date_gap_days"": 0, ""confidence_score"": 65.0}, {""bank_txn_id"": ""TXN7604942029"", ""bank_amount"": 344073, ""bank_value_date"": ""2026-08-13T00:24:00"", ""reference_match"": 0.0, ""amount_diff_rupees"": 1.43, ""date_gap_days"": 5, ""confidence_score"": 42.0}]}",Reference matches but the amount differs beyond the acceptable variance tolerance.,Compare against the settlement's fee/tax break-down; escalate to Razorpay settlements support if the gap remains unexplained.,EXCEPTION,OPEN
EXC-022,setl_RMPwO8fryPzmaR,SETTLEMENT_VARIANCE,order_MQdyNXZDLfqwLS,pay_9MGSL6YNBmOXrc,EMI,setl_RMPwO8fryPzmaR,,TXN5531525724,2148.17,2173.9,25.73,2026-08-22,2026-08-24,2026-08-24,1,91.0,"{""direction"": ""credit"", ""duplicate_ledger_group"": false, ""duplicate_bank_group"": false, ""candidates"": [{""bank_txn_id"": ""TXN5531525724"", ""bank_amount"": 217390, ""bank_value_date"": ""2026-08-24T19:17:00"", ""reference_match"": 1.0, ""amount_diff_rupees"": 25.73, ""date_gap_days"": 0, ""confidence_score"": 91.0}]}",Reference matches; amount is within tolerance but not exact.,Compare against the settlement's fee/tax break-down; escalate to Razorpay settlements support if the gap remains unexplained.,HUMAN_REVIEW,OPEN
EXC-023,setl_90zNZuoHxIUwC7,SETTLEMENT_VARIANCE,order_ces67gSGlGpMlU,pay_UVJPRAgXIFOHL5,NETBANKING,setl_90zNZuoHxIUwC7,,TXN0412822355,3255.81,3650.87,395.06,2026-08-18,2026-08-20,2026-08-20,1,65.0,"{""direction"": ""credit"", ""duplicate_ledger_group"": false, ""duplicate_bank_group"": false, ""candidates"": [{""bank_txn_id"": ""TXN0412822355"", ""bank_amount"": 365087, ""bank_value_date"": ""2026-08-20T18:17:00"", ""reference_match"": 1.0, ""amount_diff_rupees"": 395.06, ""date_gap_days"": 0, ""confidence_score"": 65.0}]}",Reference matches but the amount differs beyond the acceptable variance tolerance.,Compare against the settlement's fee/tax break-down; escalate to Razorpay settlements support if the gap remains unexplained.,EXCEPTION,OPEN
EXC-024,setl_Px4GpdmRqC6eOP,MISSING_OR_DELAYED_SETTLEMENT,order_9M9BjcYmxU0gd6,pay_jZrvXsDuTnHUIM,CARD,setl_Px4GpdmRqC6eOP,,,4037.74,,,2026-08-20,2026-08-22,,0,0.0,"{""direction"": ""credit"", ""duplicate_ledger_group"": false, ""duplicate_bank_group"": false, ""candidates"": []}",No matching bank record was found within the reconciliation window.,"Re-check the bank statement after the settlement window elapses; if still missing, raise a ticket with the settlement_id and bank_reference.",EXCEPTION,OPEN
EXC-025,setl_zAnkiI0wzr2haO,MISSING_OR_DELAYED_SETTLEMENT,order_MBm2sXQ46S49KL,pay_zhswIdRYw11oRy,NETBANKING,setl_zAnkiI0wzr2haO,,,2817.21,,,2026-08-19,2026-08-21,,0,0.0,"{""direction"": ""credit"", ""duplicate_ledger_group"": false, ""duplicate_bank_group"": false, ""candidates"": []}",No matching bank record was found within the reconciliation window.,"Re-check the bank statement after the settlement window elapses; if still missing, raise a ticket with the settlement_id and bank_reference.",EXCEPTION,OPEN
EXC-026,setl_HJM4HaC4Juv8sk,MISSING_OR_DELAYED_SETTLEMENT,order_IBwlLJ0oFzHw8J,pay_wJ7eTG1UrGGLpN,UPI,setl_HJM4HaC4Juv8sk,,,2423.74,,,2026-09-02,2026-09-04,,0,0.0,"{""direction"": ""credit"", ""duplicate_ledger_group"": false, ""duplicate_bank_group"": false, ""candidates"": []}",No matching bank record was found within the reconciliation window.,"Re-check the bank statement after the settlement window elapses; if still missing, raise a ticket with the settlement_id and bank_reference.",EXCEPTION,OPEN
EXC-027,setl_4YgLZdYhKMdmuZ,MISSING_OR_DELAYED_SETTLEMENT,order_yXNE7Y7bvuSznO,pay_CQ2jJ5ciOD4cRi,CARD,setl_4YgLZdYhKMdmuZ,,,3133.02,,,2026-08-16,2026-08-18,,0,0.0,"{""direction"": ""credit"", ""duplicate_ledger_group"": false, ""duplicate_bank_group"": false, ""candidates"": []}",No matching bank record was found within the reconciliation window.,"Re-check the bank statement after the settlement window elapses; if still missing, raise a ticket with the settlement_id and bank_reference.",EXCEPTION,OPEN
EXC-028,setl_MWvaohGfwVHnVO,PAYMENT_STATE_AMBIGUITY,order_RIB5cg0LWaEalf,pay_KrQXDhiqBokQKS,EMI,setl_MWvaohGfwVHnVO,,TXN1637307832,3975.65,3975.65,0.0,2026-08-27,2026-08-29,2026-08-29,1,100.0,"{""direction"": ""credit"", ""duplicate_ledger_group"": true, ""duplicate_bank_group"": false, ""candidates"": [{""bank_txn_id"": ""TXN1637307832"", ""bank_amount"": 397565, ""bank_value_date"": ""2026-08-29T06:05:00"", ""reference_match"": 1.0, ""amount_diff_rupees"": 0.0, ""date_gap_days"": 0, ""confidence_score"": 100.0}]}",Another ledger entry claims the same bank transaction with comparable confidence. Duplicate ledger entries were also detected for this payment_id/reference/amount combination.,Manually check settlement webhook logs to confirm whether a duplicate settlement.processed event was received.,ABSTAIN,OPEN
EXC-029,setl_uXVcT5kWEh3SKu,PAYMENT_STATE_AMBIGUITY,order_RIB5cg0LWaEalf,pay_KrQXDhiqBokQKS,EMI,setl_uXVcT5kWEh3SKu,,TXN1637307832,3975.65,3975.65,0.0,2026-08-27,2026-08-29,2026-08-29,1,100.0,"{""direction"": ""credit"", ""duplicate_ledger_group"": true, ""duplicate_bank_group"": false, ""candidates"": [{""bank_txn_id"": ""TXN1637307832"", ""bank_amount"": 397565, ""bank_value_date"": ""2026-08-29T06:05:00"", ""reference_match"": 1.0, ""amount_diff_rupees"": 0.0, ""date_gap_days"": 0, ""confidence_score"": 100.0}]}",Another ledger entry claims the same bank transaction with comparable confidence. Duplicate ledger entries were also detected for this payment_id/reference/amount combination.,Manually check settlement webhook logs to confirm whether a duplicate settlement.processed event was received.,ABSTAIN,OPEN
EXC-030,setl_XT5ugDcQhbMnwu,MISSING_OR_DELAYED_SETTLEMENT,order_Xjh9JBwmRP8jB8,pay_s5zEjCtaT8uRDr,EMI,setl_XT5ugDcQhbMnwu,,,3722.57,,,2026-09-14,2026-09-16,,0,0.0,"{""direction"": ""credit"", ""duplicate_ledger_group"": false, ""duplicate_bank_group"": false, ""candidates"": []}",No matching bank record was found within the reconciliation window.,"Re-check the bank statement after the settlement window elapses; if still missing, raise a ticket with the settlement_id and bank_reference.",EXCEPTION,OPEN
EXC-031,setl_vjFToJgJanlr3H,PAYMENT_STATE_AMBIGUITY,order_hRQtn8AVgbEAmc,pay_FdhpePUW5m3lvf,NETBANKING,setl_vjFToJgJanlr3H,,TXN6394528108,3908.64,3908.64,0.0,2026-08-08,2026-08-10,2026-08-10,1,100.0,"{""direction"": ""credit"", ""duplicate_ledger_group"": true, ""duplicate_bank_group"": false, ""candidates"": [{""bank_txn_id"": ""TXN6394528108"", ""bank_amount"": 390864, ""bank_value_date"": ""2026-08-10T07:57:00"", ""reference_match"": 1.0, ""amount_diff_rupees"": 0.0, ""date_gap_days"": 0, ""confidence_score"": 100.0}]}",Another ledger entry claims the same bank transaction with comparable confidence. Duplicate ledger entries were also detected for this payment_id/reference/amount combination.,Manually check settlement webhook logs to confirm whether a duplicate settlement.processed event was received.,ABSTAIN,OPEN
EXC-032,setl_nog9hgiVRIcuhr,PAYMENT_STATE_AMBIGUITY,order_hRQtn8AVgbEAmc,pay_FdhpePUW5m3lvf,NETBANKING,setl_nog9hgiVRIcuhr,,TXN6394528108,3908.64,3908.64,0.0,2026-08-08,2026-08-10,2026-08-10,1,100.0,"{""direction"": ""credit"", ""duplicate_ledger_group"": true, ""duplicate_bank_group"": false, ""candidates"": [{""bank_txn_id"": ""TXN6394528108"", ""bank_amount"": 390864, ""bank_value_date"": ""2026-08-10T07:57:00"", ""reference_match"": 1.0, ""amount_diff_rupees"": 0.0, ""date_gap_days"": 0, ""confidence_score"": 100.0}]}",Another ledger entry claims the same bank transaction with comparable confidence. Duplicate ledger entries were also detected for this payment_id/reference/amount combination.,Manually check settlement webhook logs to confirm whether a duplicate settlement.processed event was received.,ABSTAIN,OPEN
EXC-033,setl_9FjChEo6bTZEbl,PAYMENT_STATE_AMBIGUITY,order_l9EgBOfiyKg58e,pay_uK9hZSrSKqWNyD,EMI,setl_9FjChEo6bTZEbl,,TXN7814337545,2532.69,2532.69,0.0,2026-09-13,2026-09-15,2026-09-15,1,100.0,"{""direction"": ""credit"", ""duplicate_ledger_group"": true, ""duplicate_bank_group"": false, ""candidates"": [{""bank_txn_id"": ""TXN7814337545"", ""bank_amount"": 253269, ""bank_value_date"": ""2026-09-15T12:39:00"", ""reference_match"": 1.0, ""amount_diff_rupees"": 0.0, ""date_gap_days"": 0, ""confidence_score"": 100.0}]}",Another ledger entry claims the same bank transaction with comparable confidence. Duplicate ledger entries were also detected for this payment_id/reference/amount combination.,Manually check settlement webhook logs to confirm whether a duplicate settlement.processed event was received.,ABSTAIN,OPEN
EXC-034,setl_HYHbV92hB0BckO,PAYMENT_STATE_AMBIGUITY,order_l9EgBOfiyKg58e,pay_uK9hZSrSKqWNyD,EMI,setl_HYHbV92hB0BckO,,TXN7814337545,2532.69,2532.69,0.0,2026-09-13,2026-09-15,2026-09-15,1,100.0,"{""direction"": ""credit"", ""duplicate_ledger_group"": true, ""duplicate_bank_group"": false, ""candidates"": [{""bank_txn_id"": ""TXN7814337545"", ""bank_amount"": 253269, ""bank_value_date"": ""2026-09-15T12:39:00"", ""reference_match"": 1.0, ""amount_diff_rupees"": 0.0, ""date_gap_days"": 0, ""confidence_score"": 100.0}]}",Another ledger entry claims the same bank transaction with comparable confidence. Duplicate ledger entries were also detected for this payment_id/reference/amount combination.,Manually check settlement webhook logs to confirm whether a duplicate settlement.processed event was received.,ABSTAIN,OPEN
EXC-035,setl_TdmCoUV0z14N0q,PAYMENT_STATE_AMBIGUITY,order_qJGAveZFsPtzpF,pay_VlbR1Jn7UC6HMV,WALLET,setl_TdmCoUV0z14N0q,,TXN2098683882,582.59,582.59,0.0,2026-09-07,2026-09-09,2026-09-09,1,100.0,"{""direction"": ""credit"", ""duplicate_ledger_group"": true, ""duplicate_bank_group"": false, ""candidates"": [{""bank_txn_id"": ""TXN2098683882"", ""bank_amount"": 58259, ""bank_value_date"": ""2026-09-09T11:51:00"", ""reference_match"": 1.0, ""amount_diff_rupees"": 0.0, ""date_gap_days"": 0, ""confidence_score"": 100.0}]}",Another ledger entry claims the same bank transaction with comparable confidence. Duplicate ledger entries were also detected for this payment_id/reference/amount combination.,Manually check settlement webhook logs to confirm whether a duplicate settlement.processed event was received.,ABSTAIN,OPEN
EXC-036,setl_4mqbWrINcSWd3t,PAYMENT_STATE_AMBIGUITY,order_qJGAveZFsPtzpF,pay_VlbR1Jn7UC6HMV,WALLET,setl_4mqbWrINcSWd3t,,TXN2098683882,582.59,582.59,0.0,2026-09-07,2026-09-09,2026-09-09,1,100.0,"{""direction"": ""credit"", ""duplicate_ledger_group"": true, ""duplicate_bank_group"": false, ""candidates"": [{""bank_txn_id"": ""TXN2098683882"", ""bank_amount"": 58259, ""bank_value_date"": ""2026-09-09T11:51:00"", ""reference_match"": 1.0, ""amount_diff_rupees"": 0.0, ""date_gap_days"": 0, ""confidence_score"": 100.0}]}",Another ledger entry claims the same bank transaction with comparable confidence. Duplicate ledger entries were also detected for this payment_id/reference/amount combination.,Manually check settlement webhook logs to confirm whether a duplicate settlement.processed event was received.,ABSTAIN,OPEN
EXC-037,setl_XtDTqQZXmzl262,MISSING_OR_DELAYED_SETTLEMENT,order_T5uA4gjqeATHuR,pay_dNNXiyMtfjG8ZV,EMI,setl_XtDTqQZXmzl262,,,4311.7,,,2026-09-01,2026-09-03,,0,0.0,"{""direction"": ""credit"", ""duplicate_ledger_group"": false, ""duplicate_bank_group"": false, ""candidates"": []}",No matching bank record was found within the reconciliation window.,"Re-check the bank statement after the settlement window elapses; if still missing, raise a ticket with the settlement_id and bank_reference.",EXCEPTION,OPEN
